Lat	Long	Speed	Temp	Sal	Chla
32.13880667	129.3780617	15.1	22.866	34.101	1.81
32.134985	129.37592	15.1	22.821	34.097	1.72
32.13116	129.3737583	15.2	22.779	34.084	1.74
32.12733833	129.3716017	15.2	22.734	34.079	1.76
32.12351333	129.369475	15.2	22.716	34.08	1.62
32.11968333	129.3672833	15.2	22.685	34.06	1.61
32.115865	129.36511	15.2	22.675	34.081	1.6
32.11206	129.3629483	15.1	22.656	34.07	1.56
32.10825	129.3607833	15.1	22.641	34.061	1.58
32.10441667	129.35866	15.2	22.647	34.064	1.6
32.10053833	129.3565633	15.3	22.655	34.071	1.66
32.096655	129.3544617	15.4	22.678	34.073	1.67
32.092745	129.3524083	15.5	22.698	34.076	1.58
32.088815	129.3502533	15.5	22.731	34.096	1.6
32.08491667	129.3481433	15.4	22.814	34.12	1.48
32.08101333	129.346025	15.4	22.86	34.128	1.53
32.077105	129.34391	15.4	22.916	34.14	1.45
32.07320667	129.3418017	15.4	22.992	34.162	1.49
32.06933	129.3396733	15.4	23.069	34.173	1.44
32.06545167	129.33751	15.3	23.135	34.179	1.55
32.06162	129.3353317	15.3	23.173	34.184	1.5
32.05770667	129.333195	15.4	23.196	34.181	1.52
32.053815	129.3310267	15.3	23.236	34.18	1.56
32.04996333	129.3288533	15.3	23.261	34.182	1.57
32.04612167	129.3266683	15.3	23.265	34.19	1.57
32.04232167	129.3244617	15.2	23.286	34.176	1.45
32.038505	129.3222567	15.2	23.287	34.173	1.57
32.034695	129.3200083	15.2	23.294	34.173	1.43
32.03086833	129.3177767	15.2	23.309	34.17	1.5
32.02708833	129.31551	15.1	23.325	34.173	1.54
32.023255	129.3133617	15.1	23.344	34.174	1.53
32.01947333	129.3112283	15.1	23.357	34.165	1.5
32.01567333	129.309025	15.1	23.377	34.167	1.52
32.01188667	129.30681	15.1	23.406	34.167	1.59
32.00810167	129.304625	15.2	23.426	34.165	1.55
32.00432	129.3024083	15.1	23.453	34.168	1.53
32.00054667	129.3002233	15.1	23.469	34.164	1.52
31.996775	129.298035	15.1	23.495	34.167	1.53
31.99299667	129.295785	15.1	23.506	34.166	1.52
31.98924167	129.2934933	15.1	23.506	34.161	1.61
31.98549667	129.2912217	15.1	23.504	34.16	1.65
31.98172833	129.2889583	15.1	23.498	34.154	1.69
31.977985	129.286685	15	23.491	34.157	1.75
31.97424833	129.284415	15.1	23.495	34.147	1.8
