Site	Lat	Long
S01	23.161	123.497
S02	22.507	122.978
S03	22.941	122.499
S04	23.398	121.998
S05	23.442	122.028
S07	23.705	122.398
S08	24.17	123.754
S09	24.526	124.692
S10	25.328	125.528
S11	26.186	127.101
S12	27.501	128.163
S14	27.991	127.676
S15	28.302	127.467
S17	28.669	127.02
S18	28.954	126.707
S20	29.385	127.651
S21	29.429	127.624
S23	29.437	127.661
S24	29.452	127.802
S25	29.456	128.047
S26	29.373	129.184
S27	30.623	129.748
S28	30.97	130.889
S29	31.362	132.862
S30	32.019	134.142
S31	32.252	134.244
S32	32.588	134.163
S34	32.977	133.756
S35	33.177	133.65
S37	32.802	133.554
S38	32.32	133.136
S40	32.496	133.934
S41	32.513	133.755
S42	32.837	134.648
S43	32.906	135.168
S44	32.946	135.563
S45	33.085	135.956
S46	34.485	137.524
S47	35.041	139.252
S49	35.201	139.484
S50	35.185	139.504
S51	35.162	139.406
S52	35.161	139.494
S53	34.418	139.788
S54	34.039	140.114
S55	33.664	140.376
