Site	Lat	Long	min_row	min_dist	Lat.1	Long.1	Speed	Temp	Sal	Chla	min_row	min_dist	Lat	Long	Speed	Temp	Sal	Sig-t	Ssp	Chla	N_N	SRP	DIN_SPR
S01	23.161	123.497	2643	76.24544699	23.16031167	123.497015	14.2	28.609	34.832	0	1	109122.862	22.96689333	122.4529817	1.1	28.092	34.579	22.07	1540.77	0.03	27.12658725	5.894583235	4.619906939
S02	22.507	122.978	3093	54.59850029	22.50706	122.9785267	0.8	28.616	34.792	0.03	1	74176.47567	22.96689333	122.4529817	1.1	28.092	34.579	22.07	1540.77	0.03	27.12658725	5.894583235	4.619906939
S03	22.941	122.499	3537	39.4199347	22.94120167	122.4993167	0.5	28.107	34.587	0.02	1	5522.35735	22.96689333	122.4529817	1.1	28.092	34.579	22.07	1540.77	0.03	27.12658725	5.894583235	4.619906939
S04	23.398	121.998	3971	65.31188937	23.39742167	121.998125	2.9	27.485	34.302	0.02	150	65.31188937	23.39742167	121.998125	2.9	27.485	34.302	22.058	1539.07	0.02	26.77967803	8.555775343	3.139035612
S05	23.442	122.028	4339	14.04009797	23.44189	122.0280683	1.2	28.02	34.182	0.08	146	5490.996648	23.40026167	121.9990017	7.8	27.508	34.332	22.074	1539.16	0.03	26.4151125	8.566093167	3.092656856
S07	23.705	122.398	5228	96.07746284	23.70530167	122.3988833	6.2	27.967	34.651	0.07	137	52759.62829	23.37492833	122.025435	15.7	27.477	34.348	22.096	1539.11	0.04	26.12365903	9.091517328	2.87797191
S08	24.17	123.754	5674	166.2626849	24.17094833	123.7552683	12.3	28.621	34.744	0.09	20	188105.6552	23.00776333	122.4101383	15.4	28.064	34.594	22.09	1540.73	0.01	25.42051508	5.484441082	4.681980627
S09	24.526	124.692	6011	60.18924003	24.52617667	124.6925617	9.4	28.366	34.68	0.11	1	286213.2365	22.96689333	122.4529817	1.1	28.092	34.579	22.07	1540.77	0.03	27.12658725	5.894583235	4.619906939
S10	25.328	125.528	6457	172.857669	25.32905333	125.5292667	11.3	28.018	34.683	0.12	207	363991.1619	27.97335833	127.6961817	4.6	26.621	34.815	22.72	NA	0.23	43.82272624	10.8436151	4.056150492
S11	26.186	127.101	6899	102.4010222	26.18675667	127.1015883	14.2	26.79	34.836	0.27	206	206619.6948	27.97268833	127.6973517	4	26.624	34.819	22.723	NA	0.23	43.73818326	10.71490652	4.092858524
S12	27.501	128.163	7334	73.37058257	27.50159167	128.1633333	0.7	26.358	34.779	0.3	205	69512.95253	27.97293333	127.69856	3.4	26.613	34.829	22.733	NA	0.24	43.08112951	10.50125332	4.123770519
S14	27.991	127.676	8223	31.96682623	27.99125667	127.6761483	7.7	26.526	34.798	0.32	219	31.96682623	27.99125667	127.6761483	7.7	26.526	34.798	22.738	NA	0.32	40.64938762	9.613665603	4.235322716
S15	28.302	127.467	8656	34.28605195	28.30208833	127.466665	3.1	27.205	34.821	0.25	382	4300.497296	28.28745167	127.4263567	8.1	27.466	34.818	22.453	NA	0.22	51.34538444	7.528647439	6.848871957
S17	28.669	127.02	9540	40.80815452	28.66936167	127.0200783	7.4	27.052	34.724	0.24	713	40.80815452	28.66936167	127.0200783	7.4	27.052	34.724	22.515	NA	0.24	21.34917782	3.619682579	6.142933013
S18	28.954	126.707	9983	93.16222012	28.954115	126.7079467	14.6	25.996	34.67	0.76	853	93.16222012	28.954115	126.7079467	14.6	25.996	34.67	22.808	NA	0.76	21.55549994	11.40646819	1.898708262
S20	29.385	127.651	10858	20.69560809	29.38516333	127.6511033	0.6	26.144	34.657	1.14	795	94638.58307	28.82418	126.9178717	14.1	25.914	34.417	22.642	NA	0.79	62.5527699	26.8109246	2.334370708
S21	29.429	127.624	11301	27.88091755	29.42925	127.6240317	1.2	25.797	34.663	1.03	795	96001.79102	28.82418	126.9178717	14.1	25.914	34.417	22.642	NA	0.79	62.5527699	26.8109246	2.334370708
S23	29.437	127.661	12164	34.9770859	29.43669167	127.6609233	5.5	26.031	34.664	1.17	795	99214.2509	28.82418	126.9178717	14.1	25.914	34.417	22.642	NA	0.79	62.5527699	26.8109246	2.334370708
S24	29.452	127.802	12610	36.07921695	29.45223833	127.8022533	6.5	25.83	34.436	0.84	587	109760.2104	28.583005	127.261705	5.3	27.099	34.784	22.545	NA	0.24	24.67386029	4.899707782	5.117045276
S25	29.456	128.047	12960	104.7480787	29.45692667	128.0472117	15.6	26.668	34.733	0.37	877	112928.9285	29.41829333	129.21011	15	26.294	34.836	22.839	1537.1	0.29	31.90576062	14.85023171	2.151209458
