Lat	Long	Speed	Temp	Sal	Sig-t	Ssp	Chla	N_N	SRP	DIN_SPR
22.96689333	122.4529817	1.1	28.092	34.579	22.07	1540.77	0.03	27.12658725	5.894583235	4.619906939
22.96707833	122.45259	1.7	28.091	34.568	22.062	1540.75	0.02	26.58956183	5.644825732	4.75829449
22.96744833	122.4519983	2.5	28.107	34.575	22.062	1540.8	0.03	25.99185839	6.403291742	4.078994621
22.96814667	122.451275	3.9	28.108	34.571	22.059	1540.8	0.02	26.10003439	6.20556444	4.221572088
22.96918833	122.450255	5.5	28.107	34.574	22.061	1540.8	0.02	26.56481813	5.823379006	4.622550264
22.97057	122.4488583	7.2	28.116	34.593	22.073	1540.84	0.03	26.94082296	5.863523817	4.609725154
22.97222	122.4470983	8.7	28.108	34.577	22.063	1540.8	0.02	26.29984912	6.615347674	4.012442463
22.97409667	122.4451283	9.4	28.103	34.575	22.063	1540.79	0.02	25.81865247	6.097413234	4.265643832
22.976075	122.4430417	10.1	28.106	34.584	22.069	1540.81	0.03	26.49058702	5.578648524	4.763814862
22.97829667	122.4406717	11.6	28.089	34.57	22.063	1540.75	0.03	25.41355203	5.731571562	4.462442725
22.98073833	122.438125	12.3	28.071	34.567	22.067	1540.71	0.02	25.20913671	5.998794987	4.22206211
22.98333833	122.4354117	13.2	28.064	34.576	22.077	1540.71	0.02	25.62418436	6.01970523	4.31602199
22.98608333	122.43252	14	28.056	34.567	22.073	1540.68	0.04	25.36642709	5.410717938	4.758016686
22.98908167	122.429465	15.1	28.049	34.568	22.075	1540.66	0.01	25.43717667	6.159497475	4.141110591
22.99215833	122.4262517	15.3	28.037	34.567	22.079	1540.64	0.03	26.10015873	6.227594681	4.20152888
22.99524333	122.42303	15.4	28.036	34.569	22.081	1540.64	0.02	26.00590884	5.898269717	4.43610528
22.99834333	122.4198317	15.4	28.034	34.571	22.083	1540.64	0.02	25.5423685	5.644360868	4.587018777
23.00147	122.4165617	15.4	28.045	34.589	22.092	1540.68	0.04	25.61834037	5.945625329	4.340740458
23.00461333	122.413355	15.4	28.051	34.597	22.097	1540.71	0.03	25.62928231	5.539085333	4.698895278
23.00776333	122.4101383	15.4	28.064	34.594	22.09	1540.73	0.01	25.42051508	5.484441082	4.681980627
