Site	copy_18S	SD_18S
S01	1.0172E+03	1.2361E+02
S02	7.1340E+02	5.6639E+01
S03	1.2952E+03	3.2985E+01
S04	1.1830E+03	2.6875E+01
S05	8.9260E+02	1.7263E+02
S07	9.2840E+02	1.0321E+02
S08	6.7100E+02	4.9369E+01
S09	7.2740E+02	2.8633E+01
S10	7.2160E+02	3.2168E+01
S11	3.8784E+02	2.4180E+01
S12	1.0854E+03	4.2227E+01
S14	7.4600E+02	8.3831E+01
S15	6.3580E+02	2.8304E+01
S17	6.7338E+02	1.1958E+02
S18	1.6402E+03	1.6604E+02
S20	3.6640E+03	4.9859E+02
S21	1.0114E+04	1.4385E+03
S23	3.0788E+03	1.1050E+02
S24	3.2156E+03	1.6067E+02
S25	9.9580E+02	9.1652E+00
S26	1.1118E+03	7.5809E+01
S27	1.1240E+03	9.3184E+01
S28	1.5162E+03	2.3685E+02
S29	9.3820E+02	7.1176E+01
S30	4.7920E+02	3.3848E+01
S31	9.0880E+02	1.2751E+02
S32	1.2050E+03	3.0014E+01
S34	1.3024E+03	3.6719E+01
S35	2.3548E+03	9.3731E+01
S37	6.9840E+02	2.4607E+01
S38	9.4400E+02	6.5288E+01
S40	9.9600E+02	1.0061E+02
S41	1.0204E+03	4.7647E+01
S42	1.7499E+03	4.6245E+01
S43	1.6594E+03	3.2037E+02
S44	1.6428E+03	9.2088E+01
S45	2.0192E+03	7.6988E+01
S46	1.8804E+03	9.0793E+01
S47	4.2440E+03	3.5936E+02
S49	2.0402E+03	7.6615E+01
S50	1.7144E+03	3.3815E+02
S51	1.2814E+03	1.2537E+02
S52	2.0528E+03	1.7908E+02
S53	1.2058E+03	1.9730E+01
S54	1.1838E+03	4.1059E+01
S55	1.1846E+03	6.3141E+01
