Site1	Site2	Dist_Bray	Sim_Bray
1	2	0.1930835734870317	0.8069164265129682
1	3	0.17719648267198698	0.822803517328013
2	3	0.1948570161826646	0.8051429838173354
1	4	0.36111726889824874	0.6388827311017513
2	4	0.3656986625286337	0.6343013374713663
3	4	0.345821325648415	0.6541786743515849
1	5	0.4333111652996379	0.566688834700362
2	5	0.41712850070198776	0.5828714992980122
3	5	0.4208231729845563	0.5791768270154437
4	5	0.17586640065026232	0.8241335993497376
1	6	0.17268898248725337	0.8273110175127466
2	6	0.268085420823173	0.731914579176827
3	6	0.192344639030518	0.807655360969482
4	6	0.3528412029852952	0.6471587970147048
5	6	0.43907485406044483	0.5609251459395552
1	7	0.20623660681297568	0.7937633931870243
2	7	0.20002955737826056	0.7999704426217394
3	7	0.19167959801965564	0.8083204019803444
4	7	0.3367324318332964	0.6632675681667036
5	7	0.3878666962240449	0.6121333037759551
6	7	0.22522722234537795	0.774772777654622
1	8	0.21569496785635114	0.7843050321436489
2	8	0.2258922633562403	0.7741077366437596
3	8	0.20313308209561812	0.7968669179043819
4	8	0.37161013818074334	0.6283898618192567
5	8	0.41742407448459323	0.5825759255154068
6	8	0.23439000960614795	0.765609990393852
7	8	0.1615310721938964	0.8384689278061036
1	9	0.23439000960614795	0.765609990393852
2	9	0.2787999704426217	0.7212000295573783
3	9	0.2460651740190645	0.7539348259809355
4	9	0.35143722751791917	0.6485627724820808
5	9	0.4071528855390527	0.5928471144609473
6	9	0.2155471809650484	0.7844528190349516
7	9	0.1999556639326092	0.8000443360673908
8	9	0.1761619744328678	0.8238380255671323
1	10	0.41831079583240965	0.5816892041675903
2	10	0.43168550949530776	0.5683144905046922
3	10	0.38912288480011825	0.6108771151998817
4	10	0.35424517845267123	0.6457548215473288
5	10	0.3929653439739895	0.6070346560260105
6	10	0.38276804847410034	0.6172319515258997
7	10	0.40146309022389715	0.5985369097761029
8	10	0.3945171063326683	0.6054828936673318
9	10	0.3400576368876081	0.659942363112392
1	11	0.45954333850587453	0.5404566614941255
2	11	0.436710263799601	0.563289736200399
3	11	0.4048621887238602	0.5951378112761398
4	11	0.31264316855094954	0.6873568314490505
5	11	0.3463385797679746	0.6536614202320254
6	11	0.4350107145496194	0.5649892854503806
7	11	0.4247395256040789	0.5752604743959211
8	11	0.42547846006059264	0.5745215399394074
9	11	0.3897140323653292	0.6102859676346708
10	11	0.21539939407374567	0.7846006059262544
1	12	0.3288997265942511	0.671100273405749
2	12	0.35875267863740484	0.6412473213625951
3	12	0.3071011601270967	0.6928988398729032
4	12	0.32217542303997637	0.6778245769600236
5	12	0.37789108106110986	0.6221089189388902
6	12	0.2903273479642356	0.7096726520357644
7	12	0.32653513633340725	0.6734648636665928
8	12	0.31175644720313306	0.6882435527968669
9	12	0.28338136407300674	0.7166186359269933
10	12	0.2130348038129018	0.7869651961870983
11	12	0.2693416093992463	0.7306583906007538
1	13	0.3645163673982118	0.6354836326017882
2	13	0.3728663267568167	0.6271336732431834
3	13	0.33658464494199364	0.6634153550580064
4	13	0.34744698145274516	0.6525530185472548
5	13	0.4033843198108328	0.5966156801891672
6	13	0.32697849700731546	0.6730215029926845
7	13	0.3267568166703613	0.6732431833296386
8	13	0.29224857755117123	0.7077514224488288
9	13	0.26564693711667775	0.7343530628833222
10	13	0.19049730288923372	0.8095026971107663
11	13	0.2745880440404936	0.7254119559595065
12	13	0.19470922929136186	0.8052907707086381
1	14	0.35276730953964386	0.6472326904603561
2	14	0.3798862040936969	0.6201137959063031
3	14	0.30998300450750016	0.6900169954924998
4	14	0.30547550432276654	0.6945244956772334
5	14	0.352397842311387	0.6476021576886131
6	14	0.31286484888790367	0.6871351511120963
7	14	0.33185546442030595	0.668144535579694
8	14	0.3228404640508387	0.6771595359491613
9	14	0.29468706125766647	0.7053129387423336
10	14	0.18303406487844529	0.8169659351215547
11	14	0.22522722234537795	0.774772777654622
12	14	0.16943767087859307	0.8305623291214069
13	14	0.17638365476982193	0.8236163452301781
1	15	0.5785117860045814	0.4214882139954186
2	15	0.5622552279612798	0.4377447720387202
3	15	0.570457400428582	0.42954259957141805
4	15	0.38675829453927435	0.6132417054607257
5	15	0.3728663267568167	0.6271336732431834
6	15	0.5695706790807655	0.43042932091923447
