Site	Lat	Long	min_row	min_dist	Lat_Env	Long_Env	Speed	Temp	Sal	SigmaT	Ssp	Chla	NO3_NO2	PO4	DIN_SPR
S01	23.161	123.497	NA	NA	NA	NA	14.2	28.609	34.832	NA	NA	0	NA	NA	NA
S02	22.507	122.978	NA	NA	NA	NA	0.8	28.616	34.792	NA	NA	0.03	NA	NA	NA
S03	22.941	122.499	1	5522.35735	22.96689333	122.4529817	0.5	28.107	34.587	22.07	1540.77	0.02	27.12658725	5.894583235	4.619906939
S04	23.398	121.998	150	65.31188937	23.39742167	121.998125	2.9	27.485	34.302	22.058	1539.07	0.02	26.77967803	8.555775343	3.139035612
S05	23.442	122.028	146	5490.996648	23.40026167	121.9990017	1.2	28.02	34.182	22.074	1539.16	0.08	26.4151125	8.566093167	3.092656856
S07	23.705	122.398	NA	NA	NA	NA	6.2	27.967	34.651	NA	NA	0.07	NA	NA	NA
S08	24.17	123.754	NA	NA	NA	NA	12.3	28.621	34.744	NA	NA	0.09	NA	NA	NA
S09	24.526	124.692	NA	NA	NA	NA	9.4	28.366	34.68	NA	NA	0.11	NA	NA	NA
S10	25.328	125.528	NA	NA	NA	NA	11.3	28.018	34.683	NA	NA	0.12	NA	NA	NA
S11	26.186	127.101	NA	NA	NA	NA	14.2	26.79	34.836	NA	NA	0.27	NA	NA	NA
S12	27.501	128.163	NA	NA	NA	NA	0.7	26.358	34.779	NA	NA	0.3	NA	NA	NA
S14	27.991	127.676	219	31.96682623	27.99125667	127.6761483	7.7	26.526	34.798	22.738	NA	0.32	40.64938762	9.613665603	4.235322716
S15	28.302	127.467	382	4300.497296	28.28745167	127.4263567	3.1	27.205	34.821	22.453	NA	0.25	51.34538444	7.528647439	6.848871957
S17	28.669	127.02	713	40.80815452	28.66936167	127.0200783	7.4	27.052	34.724	22.515	NA	0.24	21.34917782	3.619682579	6.142933013
S18	28.954	126.707	853	93.16222012	28.954115	126.7079467	14.6	25.996	34.67	22.808	NA	0.76	21.55549994	11.40646819	1.898708262
S20	29.385	127.651	NA	NA	NA	NA	0.6	26.144	34.657	NA	NA	1.14	NA	NA	NA
S21	29.429	127.624	NA	NA	NA	NA	1.2	25.797	34.663	NA	NA	1.03	NA	NA	NA
S23	29.437	127.661	NA	NA	NA	NA	5.5	26.031	34.664	NA	NA	1.17	NA	NA	NA
S24	29.452	127.802	NA	NA	NA	NA	6.5	25.83	34.436	NA	NA	0.84	NA	NA	NA
S25	29.456	128.047	NA	NA	NA	NA	15.6	26.668	34.733	NA	NA	0.37	NA	NA	NA
S26	29.373	129.184	877	5623.849403	29.41829333	129.21011	15	26.245	34.827	22.839	1537.1	0.36	31.90576062	14.85023171	2.151209458
S27	30.623	129.748	1184	47.64551704	30.6231	129.7484833	15.6	26.208	34.731	22.787	1536.76	0.28	21.24076406	12.11981619	1.761902309
S28	30.97	130.889	NA	NA	NA	NA	15.8	24.437	34.424	NA	NA	1.57	NA	NA	NA
S29	31.362	132.862	NA	NA	NA	NA	16	25.861	34.702	NA	NA	0.17	NA	NA	NA
S30	32.019	134.142	NA	NA	NA	NA	1.8	25.032	34.732	NA	NA	0.24	NA	NA	NA
S31	32.252	134.244	NA	NA	NA	NA	14.5	25.06	34.754	NA	NA	0.22	NA	NA	NA
S32	32.588	134.163	1289	6821.938283	32.64290667	134.130225	2.6	25.842	34.763	22.916	1536.09	0.32	36.93264994	12.05885434	3.06269973
S34	32.977	133.756	1529	2799.88692	32.95274	133.7642883	8.2	24.999	34.682	23.152	1533.51	0.77	197.3443573	40.43321653	4.880724269
S35	33.177	133.65	1694	578.9436387	33.18174333	133.6525917	1.6	24.091	34.194	23.059	1531.34	1.42	544.5633998	72.56030024	7.504977267
S37	32.802	133.554	1487	23574.41468	32.859565	133.7963717	13.9	24.757	34.611	23.056	1533.96	0.42	85.34519226	32.84567439	2.598369696
S38	32.32	133.136	NA	NA	NA	NA	0.7	25.508	34.671	NA	NA	0.74	NA	NA	NA
S40	32.496	133.934	1340	22591.59436	32.68001833	134.03723	2	25.92	34.771	22.891	1535.32	0.52	54.9970314	30.96271606	1.776234078
S41	32.513	133.755	1439	27052.9823	32.74110667	133.85718	11.8	25.833	34.757	22.82	1535.45	0.46	93.53437853	30.96271606	3.020871242
S42	32.837	134.648	NA	NA	NA	NA	8.9	25.72	34.768	NA	NA	0.72	NA	NA	NA
S43	32.906	135.168	NA	NA	NA	NA	3.1	25.522	34.708	NA	NA	0.71	NA	NA	NA
S44	32.946	135.563	NA	NA	NA	NA	2.8	25.543	34.73	NA	NA	0.48	NA	NA	NA
S45	33.085	135.956	NA	NA	NA	NA	16.6	25.402	34.723	NA	NA	0.81	NA	NA	NA
S46	34.485	137.524	NA	NA	NA	NA	15	22.234	34.436	NA	NA	1.03	NA	NA	NA
S47	35.041	139.252	NA	NA	NA	NA	11.5	21.605	34.21	NA	NA	1.28	NA	NA	NA
S49	35.201	139.484	NA	NA	NA	NA	0.7	21.518	34.245	NA	NA	1.45	NA	NA	NA
S50	35.185	139.504	NA	NA	NA	NA	0.2	21.972	34.485	NA	NA	1.29	NA	NA	NA
S51	35.162	139.406	NA	NA	NA	NA	0.2	21.881	34.448	NA	NA	1.43	NA	NA	NA
S52	35.161	139.494	NA	NA	NA	NA	0.1	22.079	34.465	NA	NA	1.38	NA	NA	NA
S53	34.418	139.788	1908	124.8424623	34.41824667	139.789325	0.3	24.543	34.67	23.237	1532.98	0.78	282.4988295	37.65533079	7.504603516
S54	34.039	140.114	2202	24.12683312	34.039155	140.1141833	1.3	24.995	34.685	23.126	1533.86	0.59	253.5880325	30.85180133	8.230267744
S55	33.664	140.376	2465	2015.0508	33.66829833	140.35489	1.2	24.966	34.775	23.254	1533.56	0.68	133.4890102	27.10302415	4.931007498
