Site	Lat	Long	min_row	min_dist	Lat_Env	Long_Env	Speed	Temp	Sal	SigmaT	Ssp	Chla	NO3_NO2	PO4	DIN_SPR	copy_18S	SD_18S	GroupL	GroupS	Coverage	Richness	Shannon	Evenness
S01	23.161	123.497	NA	NA	NA	NA	14.2	28.609	34.832	NA	NA	0	NA	NA	NA	1017.2	123.61	South	NA	13533	129	4.205294105736427	0.8653202543296082
S02	22.507	122.978	NA	NA	NA	NA	0.8	28.616	34.792	NA	NA	0.03	NA	NA	NA	713.4	56.639	South	NA	13533	152	4.337144080601298	0.8633055787462682
S03	22.941	122.499	1	5522.35735	22.96689333	122.4529817	0.5	28.107	34.587	22.07	1540.77	0.02	27.12658725	5.894583235	4.619906939	1295.2	32.985	South	NA	13533	142	4.17864185172223	0.8431774965417766
S04	23.398	121.998	150	65.31188937	23.39742167	121.998125	2.9	27.485	34.302	22.058	1539.07	0.02	26.77967803	8.555775343	3.139035612	1183	26.875	South	NA	13533	122	3.9809454523939456	0.828669444893114
S05	23.442	122.028	146	5490.996648	23.40026167	121.9990017	1.2	28.02	34.182	22.074	1539.16	0.08	26.4151125	8.566093167	3.092656856	892.6	172.63	South	NA	13533	115	3.9079869254404067	0.8236128188388766
S07	23.705	122.398	NA	NA	NA	NA	6.2	27.967	34.651	NA	NA	0.07	NA	NA	NA	928.4	103.21	South	NA	13533	125	4.087689939177693	0.8466081869529851
S08	24.17	123.754	NA	NA	NA	NA	12.3	28.621	34.744	NA	NA	0.09	NA	NA	NA	671	49.369	South	NA	13533	143	4.2280966192635026	0.851950229004464
S09	24.526	124.692	NA	NA	NA	NA	9.4	28.366	34.68	NA	NA	0.11	NA	NA	NA	727.4	28.633	South	NA	13533	150	4.172235774412193	0.832676004044457
S10	25.328	125.528	NA	NA	NA	NA	11.3	28.018	34.683	NA	NA	0.12	NA	NA	NA	721.6	32.168	South	NA	13533	131	4.003237675391851	0.8211437219864663
S11	26.186	127.101	NA	NA	NA	NA	14.2	26.79	34.836	NA	NA	0.27	NA	NA	NA	387.84	24.18	South	NA	13533	131	3.816101633874581	0.7827583953809798
