Genus	ASVall	ASVnet	Net_ratio	Meancont	Maxcont	Mincont
Chrysochromulina	139	91	65.4676258992806	30.1517789293904	42.379896526238	18.6165102357549
Phaeocystis	27	20	74.0740740740741	23.1832898770598	44.5717241888996	8.35734870317003
Clade_D	1	1	100	10.6506787216032	24.3257223084312	0.354688539126579
Prymnesium	64	43	67.1875	8.89060270282502	25.7075297421119	2.09118451193379
Clade_B4	19	14	73.6842105263158	5.78412977043766	16.8920416759033	2.31320671051659
Clade_HAP4	37	28	75.6756756756757	3.84303634776643	19.9807877041306	0.502475430429321
Emiliania_Gephyrocapsa	4	3	75	2.39997868571107	6.35671520437579	0.724155767383433
Syracosphaera	6	3	50	2.28452784965565	4.37578534998891	0.805438557599941
Clade_HAP5	26	13	50	2.09464851629041	6.36222567058302	0.391722099039172
Clade_HAP2	6	5	83.3333333333333	1.51695169460276	6.4582871499298	0
Pavlomulina	2	1	50	1.27147077419538	2.8892337249686	0.258684405025868
Clade_E	11	6	54.5454545454545	0.71991870024451	3.43604522278874	0
Dicrateria	1	1	100	0.675413351917239	2.33503288258331	0.0665041010862337
Algirosphaera	7	5	71.4285714285714	0.612667979819842	1.15273775216138	0
Haptolina	5	4	80	0.60774488162032	1.24140988694303	0.0960614793467819
Braarudosphaera	7	3	42.8571428571429	0.603134881931324	3.34737308800709	0
Clade_HAP3	6	5	83.3333333333333	0.14778969476022	0.724155767383433	0
Clade_B3	6	2	33.3333333333333	0.0985260626215511	0.413803295647676	0
Chrysoculter	3	2	66.6666666666667	0.0924505250767326	0.221680336954112	0
Scyphosphaera	5	1	20	0.0929455388209179	0.42858198477795	0
Clade_F	3	1	33.3333333333333	0.0720915428211984	0.48030739673391	0
Umbilicosphaera	3	2	66.6666666666667	0.0612519440461869	0.413803295647676	0
Chrysotila	1	1	100	0.0489339303367361	0.332520505431168	0
Gladiolithus	2	1	50	0.0354688539126579	0.384245917387128	0
Calcidiscus	2	1	50	0.0290648038321914	0.155176235867879	0
Oolithus	1	0	0	0.0185559506642798	0.103450823911919	0
Exanthemachrysis	1	0	0	0.00738941737911549	0.0738934456513707	0
Clade_B5	1	0	0	0.00279153016905178	0.103450823911919	0
Coronosphaera	2	0	0	0.00229890719804264	0.0517254119559595	0
Pavlova	1	0	0	6.56830628012184e-4	0.0147786891302741	0
Unclassified	38	23	60.5263157894737	3.99981080266209	9.99778319663046	1.36723080334048
