Site	PCoA1	PCoA2	Latitude	Longitude	Temperature	Sal	Chla	NO3_NO2	PO4	copy_18S	GroupL	GroupS	Richness	Shannon	Evenness
S01	-0.44272680557953	-0.21137527972697592	23.161	123.497	28.609	34.832	0	NA	NA	1017.2	South	NA	129	4.205294105736427	0.8653202543296082
S02	-0.423917818864626	-0.20423270900156615	22.507	122.978	28.616	34.792	0.03	NA	NA	713.4	South	NA	152	4.337144080601298	0.8633055787462682
S03	-0.44197548274198195	-0.16115194979115252	22.941	122.499	28.107	34.587	0.02	27.12658725	5.894583235	1295.2	South	NA	142	4.17864185172223	0.8431774965417766
S04	-0.2942644851925116	-0.07421505623928072	23.398	121.998	27.485	34.302	0.02	26.77967803	8.555775343	1183	South	NA	122	3.9809454523939456	0.828669444893114
S05	-0.23109803552652877	-0.08794054433691044	23.442	122.028	28.02	34.182	0.08	26.4151125	8.566093167	892.6	South	NA	115	3.9079869254404067	0.8236128188388766
S07	-0.44284678935318567	-0.17136795038411348	23.705	122.398	27.967	34.651	0.07	NA	NA	928.4	South	NA	125	4.087689939177693	0.8466081869529851
S08	-0.42932103034434865	-0.18891451457200345	24.17	123.754	28.621	34.744	0.09	NA	NA	671	South	NA	143	4.2280966192635026	0.851950229004464
S09	-0.43047947697733674	-0.17585258350006608	24.526	124.692	28.366	34.68	0.11	NA	NA	727.4	South	NA	150	4.172235774412193	0.832676004044457
S10	-0.4054738118006943	-0.13905630375696854	25.328	125.528	28.018	34.683	0.12	NA	NA	721.6	South	NA	131	4.003237675391851	0.8211437219864663
S11	-0.2318508471507682	0.1492311452689594	26.186	127.101	26.79	34.836	0.27	NA	NA	387.84	South	NA	131	3.816101633874581	0.7827583953809798
S12	-0.2257778083980577	0.1370399840504825	27.501	128.163	26.358	34.779	0.3	NA	NA	1085.4	South	NA	115	3.7162643309615278	0.7832070576409786
S14	-0.3383281548034418	0.06401947162863561	27.991	127.676	26.526	34.798	0.32	40.64938762	9.613665603	746	South	NA	148	3.956441324847652	0.791729690095292
S15	-0.31965146804503713	0.08350076409651083	28.302	127.467	27.205	34.821	0.25	51.34538444	7.528647439	635.8	South	NA	127	3.811139177365102	0.7867448365111115
S17	-0.3113783752109725	0.11844586870355354	28.669	127.02	27.052	34.724	0.24	21.34917782	3.619682579	673.38	South	NA	128	3.8123931289220043	0.7857315230021334
S18	-0.003236579759595659	0.08706267007813234	28.954	126.707	25.996	34.67	0.76	21.55549994	11.40646819	1640.2	South	NA	107	3.709002721973713	0.7937381944358806
S20	0.1588721938186579	-0.07300266656326132	29.385	127.651	26.144	34.657	1.14	NA	NA	3664	North	NA	106	3.731792675026976	0.8002233115338929
S21	0.23351368795736946	-0.1279865880386302	29.429	127.624	25.797	34.663	1.03	NA	NA	10114	North	NA	178	4.0305061754433815	0.7778221796269725
S23	0.28993344229516643	-0.15917117921310125	29.437	127.661	26.031	34.664	1.17	NA	NA	3078.8	North	NA	186	3.8471541305868553	0.7361922364011619
S24	0.26728564007594047	-0.17384317549211076	29.452	127.802	25.83	34.436	0.84	NA	NA	3215.6	North	NA	180	3.7965925602884143	0.7311041992651215
S25	-0.17269199568700713	0.16978114394971183	29.456	128.047	26.668	34.733	0.37	NA	NA	995.8	South	NA	203	3.9624282553979757	0.7457697426051195
S26	-0.15157348947384308	0.2812199739822275	29.373	129.184	26.245	34.827	0.36	31.90576062	14.85023171	1111.8	South	NA	182	3.8145871927701114	0.7330096639274014
S27	-0.2085260962208223	0.14730548650646036	30.623	129.748	26.208	34.731	0.28	21.24076406	12.11981619	1124	South	NA	211	4.147680772027275	0.77499826575808906
