ASVs	Clone_and_organism	identity	e_value
b1683a5960153d58100a5371215c0230	KJ762902|Clade_D(SGUH1172)	100.00	2e-131
774ba321f0096ef5c988eec207bf8c1b	GU825073|Phaeocystis_globosa(AI5F15RJ3B03)	100.00	2e-131
d72ea6b9cd47f596733ba1bffe6825f5	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	99.60	7e-130
3d2a7e35bbcf8c1dffa7d4a1b476930f	HQ868849|Phaeocystis_sp(SHAX1099)	100.00	2e-131
6ca0d4a5bf9f086ed331b354050008f1	FN263276|Chrysochromulina_sp(B5)	99.60	7e-130
8b788247d0dc6d7b7a15edd434b2f412	GU825073|Phaeocystis_globosa(AI5F15RJ3B03)	99.60	7e-130
a5a46f941d8e1ab09c1c5b9339ed5aa3	KJ763239|Chrysochromulina_sp(SGUH646)	100.00	2e-131
239a71c05a5470da82bc835fd46a264b	JX680364|Chrysochromulina_sp(DH122_Pry1_C28)	100.00	2e-131
5d40deff8dd8df7e15f3df350335894d	AM490987|Syracosphaera_pulchra(ALGO_GK_17)	99.60	7e-130
fc060bc3056e2b24fb7d61df6cc7cc91	JX680406|Prymnesium_sp(Ma135_Pry1_C29)	100.00	2e-131
524a9b7df8fec0dc1f9a27595c7db2a3	JX680408|Emiliania_Gephyrocapsa_sp(Ma135_Pry1_C4)	100.00	2e-131
62f363149262f1eff985c8464d19ebf7	GQ863817|Phaeocystis_sp(AMT15_15_10m_412)	100.00	2e-131
2fb6ea991789fd51f864e9968d2fc0cb	KJ763331|Chrysochromulina_sp(SGUH808)	100.00	2e-131
730158aebbcb3eb5397eb8ed7f01c598	Unclassified	98.40	7e-125
d2c15144924e16eefa01256d05028223	JX660995|Phaeocystis_sp(RCC:PCC559)	100.00	2e-131
9543958c5fb9022c43f460d1d2212493	JX291802|Prymnesium_sp(7656BH994_SP6)	100.00	2e-131
f40a0352a49879edc3581e6b72d7e029	KF130564|Clade_B4(ST8900_063)	99.60	7e-130
a8911a86f12602a1008d0cd2304908c1	LC599498|Pavlomulina_ranunculiformis(NIES-3900)	100.00	2e-131
b74846a4b2711cefa025ea5ce2e3b925	EF172993|Prymnesium_sp(SSRPD92)	100.00	2e-131
a99a3f031a3080134b4e4e1655341c05	KJ763084|Chrysochromulina_sp(SGUH406)	100.00	2e-131
040ab56129607ae49eb93ddfa34478ac	JX680439|Phaeocystis_globosa(Ma130_Pry1_C6)	99.60	7e-130
cdb6ada2f6976d70a5de7fe400557e01	KF130564|Clade_B4(ST8900_063)	98.00	3e-123
2b6b83bc4b857d8a2d3acb168b904366	EF695123|Phaeocystis_sp(hotp2a4)	100.00	2e-131
ce6cd0cbfafdce745dbe3e2700009141	KF130288|Clade_HAP4(ST6060_063)	96.41	2e-116
9efca9298ffa05ab2d49a55f672e6daa	FR874498|Dicrateria_sp(ws_59_1806A03)	100.00	2e-131
f0e6ee9ec7c6f7f7fb5a637f89bc08f1	GU824821|Clade_HAP2(BCA5F15RM3F05)	100.00	2e-131
b109f26e3fac14e3bb1d21084c6aa2ae	JX680408|Emiliania_Gephyrocapsa_sp(Ma135_Pry1_C4)	99.60	7e-130
e12c5bb4190cec6034216df295b63bfe	KF130564|Clade_B4(ST8900_063)	98.40	7e-125
98af88f3564fb73c3478f75a06c9432c	FJ537637|Chrysochromulina_sp(Biosope_T65_040)	100.00	2e-131
cf362ad7ef475d1386b42b69f319f528	KF129994|Clade_HAP5(ST5900_037)	99.60	7e-130
cbca1fc21141ed16842dce2032bb94a4	KF130564|Clade_B4(ST8900_063)	96.40	2e-116
e96c03333204052de98fe487ac66e426	KF130564|Clade_B4(ST8900_063)	99.20	3e-128
e58a75aa14a1278ea958d68a21161d72	Unclassified	98.40	7e-125
0237f164c6f23ada626dc043530e58be	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	99.60	7e-130
3732052cd3d60e072757b113bdbbf362	HM581603|Chrysochromulina_sp(FS04R13_10_27Feb07_75m_sort)	98.00	3e-123
ca56e41a06012c7ceef0804fca34e9f4	GU825016|Chrysochromulina_sp(AA5F15RM4B01)	99.60	7e-130
d384b0a7c9fc8add98ae736b5ae239a5	AM779755|Prymnesium_palpebrale(UIO_133)	100.00	2e-131
5bbe0b28268edf12e6bdbca3fb223da3	EF695123|Phaeocystis_sp(hotp2a4)	99.20	3e-128
4a957a4c7f00f4479c0accedce06c687	AM491009|Prymnesium_aff_polylepis(PLY_200)	100.00	2e-131
6e59990cc15443d9cda22a510ca3542b	AM490985|Algirosphaera_robusta(ALGO_Am_24)	99.60	7e-130
f1f7c5414ecbecb00bdd9b56eb5d6353	GU825177|Clade_HAP4(AA5F15RM1D01)	98.80	2e-126
55a27bfa2c4f9ae542ba376b52f7a671	KJ763007|Phaeocystis_sp(SGUH1400)	100.00	2e-131
5b426e2663631cd9a0696c57f5459078	EF172993|Prymnesium_sp(SSRPD92)	99.20	3e-128
28a09c1ad2e02d862bcb617fc93a9a0f	HM749951|Chrysochromulina_sp(BLACKSEA_cl_49)	99.21	9e-129
8d67c00f5f4fdf6444b670cef5569d86	EF172993|Prymnesium_sp(SSRPD92)	99.60	7e-130
cae0303bc784f598ab40433de06b1465	KF130288|Clade_HAP4(ST6060_063)	95.62	3e-113
dd7904afd9381a2ebca3be1a9bbf89a7	KJ763188|Haptolina_sp(SGUH579)	100.00	2e-131
4cada2a6c7f901252e19bf24fab04d01	AB478413|Braarudosphaera_bigelowii(Furue15)	100.00	2e-131
4a3e19e8c0be519e8cf5cf89fd10c145	HQ868546|Chrysochromulina_sp(SHAX774)	99.60	7e-130
13652e1ba7d325a2b9b480993db846b6	HQ870396|Chrysochromulina_sp(SHZX449)	100.00	2e-131
8ee58d599bce8a9d3fd6899ecb941489	KF130550|Chrysochromulina_sp(ST8900_047)	98.41	7e-125
dad8fc959274b22e61095ccabec2a0eb	HQ869389|Chrysochromulina_sp(SHBA737)	97.20	7e-120
144584647e8a458a0ec471bfa0f72fef	KF130288|Clade_HAP4(ST6060_063)	100.00	2e-131
379db1a541fbbf9c1afb38314514c40b	GU825177|Clade_HAP4(AA5F15RM1D01)	96.40	2e-116
0814ed311a8eee2e0b9aadf0bd7bffd5	KF130564|Clade_B4(ST8900_063)	99.60	7e-130
8d3aadee7acc710edc7b0a98727db1b4	KF130564|Clade_B4(ST8900_063)	98.80	2e-126
d343b353ba373a0e9a0523c0edb62828	Unclassified	100.00	2e-131
5cadf6e8aa308574d957ac359d4fe958	KF129994|Clade_HAP5(ST5900_037)	100.00	2e-131
58c07fdbf3bb3f184417ce562dee777b	DQ918951|Clade_HAP4(ENVP366_00164)	98.68	3e-113
9b7e55b321134e4f4cd22316ff3d694c	EF172993|Prymnesium_sp(SSRPD92)	98.80	2e-126
87bebde65385b25eeb5bf58d43f4a259	KF129994|Clade_HAP5(ST5900_037)	98.00	3e-123
07cf99983471b7849010b964155a0b00	DQ369019|Chrysochromulina_sp(UEPAC47p4)	100.00	2e-131
1c9f3e0e4a7e2be0dddeaa22c791cd23	KF130550|Chrysochromulina_sp(ST8900_047)	97.61	2e-121
cf466d9d5a047d399396cd51619869ee	KF129646|Phaeocystis_sp(ST3500_059)	100.00	2e-131
7b8645d6badf88bc78cdbf551b1fe641	KJ763084|Chrysochromulina_sp(SGUH406)	99.20	3e-128
768412beb4da00fa90bbcaa4df0c48d5	FN263276|Chrysochromulina_sp(B5)	98.00	3e-123
9854c20977f9b82da67625792bca5422	JX680362|Clade_E(DH122_Pry1_C23)	99.60	7e-130
0fde87674753be193626937e43ae64a7	KF130564|Clade_B4(ST8900_063)	98.80	2e-126
